Name,Age,Height,Bounty,kmeans_3
Alvida,27,198,5000000,1
Amazon,79,120,100000,1
Aramaki,41,308,3000000000,2
Donquixote Doflamingo,41,305,340000000,1
Arlong,41,263,20000000,1
Babe,30,218,3200000,1
Nefertari Vivi,18,169,1000000000,1
Baby 5,24,181,98000000,1
Bartholomew Kuma,47,689,296000000,1
Bartolomeo,24,220,200000000,1
Basil Hawkins,31,210,320000000,1
Belo Betty,34,196,457000000,1
Bellamy,27,240,195000000,1
Nami,20,169,366000000,1
Borsalino,58,302,3000000000,2
Bentham,32,238,32000000,1
Bepo,22,240,1500,1
Black Maria,29,820,480000000,1
Franky,36,225,394000000,1
Boa Hancock,31,191,80000000,1
Boa Marigold,28,432,40000000,1
Bobby Funk,33,320,36000000,1
Nico Robin,30,188,930000000,1
Brannew,56,190,3000000,1
Brogy,160,2130,100000000,0
Brook,90,266,383000000,1
Buffalo,30,696,2000000,1
Buggy,39,192,3189000000,2
Caesar Clown,55,309,300000000,1
Camie,18,197,100000000,1
Capone Bege,42,166,350000000,1
Caribou,32,228,210000000,1
Demalo Black,36,245,70000000,1
Carrot,15,161,1500000000,1
Emporio Ivankov,53,449,100000000,1
Cavendish,26,208,330000000,1
Chadros Higelyges,45,691,80060000,1
Charlotte Cracker,45,307,860000000,1
Charlotte Daifuku,48,489,300000000,1
Charlotte Katakuri,48,509,1057000000,1
Charlotte Linlin,68,880,500000000,1
Eustass Kid,23,205,3000000000,2
Charlotte Lola,26,215,24000000,1
Charlotte Mont-d'Or,38,260,120000000,1
Charlotte Oven,48,492,300000000,1
Charlotte Perospero,50,333,700000000,1
Charlotte Smoothie,35,464,932000000,1
Chew,35,257,5500000,1
Chinjao,78,520,542000000,1
Chocolat,26,181,16000000,1
Coribou,29,250,190000000,1
Crocodile,46,253,1965000000,2
Gecko Moria,50,692,320000000,1
Curly Dadan,55,221,7800000,1
Daz Bonez,31,212,75000000,1
Smoker,36,209,50000000,1
Dellinger,16,145,15000000,1
Diamante,45,525,99000000,1
Tony Tony Chopper,17,90,1000,1
Doc Q,28,342,72000000,1
Trafalgar D. Water Law,26,191,3000000000,2
Dorry,160,2260,100000000,0
Dracule Mihawk,43,198,3590000000,2
Gin,27,186,12000000,1
Drip,24,208,26000000,1
Drophy,51,156,14000000,1
Edward Weevil,35,680,480000000,1
Enel,39,266,500000000,1
Foxy,38,180,24000000,1
Fullbody,28,184,30000000,1
Galdino,37,179,24000000,1
Gem,26,197,10000000,1
Gladius,33,260,31000000,1
Scratchmen Apoo,31,256,350000000,1
Gotti,33,375,90000000,1
Hatchan,38,220,8000000,1
Hody Jones,30,331,400000000,1
Igaram,50,218,30000000,1
Inazuma,29,228,100000000,1
Inuarashi,40,511,1000000000,1
Ipponmatsu,40,157,100000,1
Issho,54,270,3000000000,2
Jack,28,830,1000000000,1
Jango,29,207,9000000,1
Jesus Burgess,29,355,20000000,1
Jewelry Bonney,12,174,320000000,1
Jinbe,46,301,1100000000,1
Yosaku,26,185,5000000,1
Johnny,25,186,5000000,1
X Drake,33,233,222000000,1
Kaidou,59,710,70000000,1
Karasu,47,265,400000000,1
Karoo,16,150,50000000,1
Kin'emon,36,295,100000000,1
Kelly Funk,36,168,57000000,1
Killer,27,195,200000000,1
King,47,613,1390000000,1
Koby,18,167,500000000,1
Krieg,44,243,17000000,1
Kuro,35,207,16000000,1
Kuroobi,38,252,9000000,1
Kuzan,49,298,860000000,1
Laffitte,41,340,42200000,1
Lao G,70,157,61000000,1
Lindbergh,37,149,316000000,1
Machvise,52,440,11000000,1
Makino,31,166,30000000,1
Manjaro,25,202,26000000,1
Marco,45,203,1374000000,1
Marianne,18,145,29000000,1
Marshall D. Teach,40,344,3996000000,2
Masira,25,345,23000000,1
Mikita,24,177,7500000,1
Monkey D. Garp,78,287,3000000000,2
Monkey D. Luffy,19,174,3000000000,2
Mont Blanc Cricket,43,242,25000000,1
Morgan,44,285,30000000,1
Morley,160,1253,293000000,0
Mounblutain,30,294,210000000,1
Zala,28,187,35000000,1
Nekomamushi,40,522,1000000000,1
Neptune,70,1220,120000000,1
Nezumi,36,182,93000000,1
Who's-Who,38,336,546000000,1
Sengoku,79,278,79000000,1
Orlumbus,42,480,148000000,1
Page One,20,171,290000000,1
Pekoms,27,232,330000000,1
Pica,40,470,99000000,1
Queen,56,612,1320000000,1
Roronoa Zoro,21,178,1111000000,1
Rosward,55,215,500000000,1
Sabo,22,100,602000000,1
Sai,28,242,210000000,1
Sanji,21,177,1032000000,1
Sarquiss,27,228,38000000,1
Sasaki,34,318,472000000,1
Shakuyaku,64,186,100000000,1
Shalria,17,178,500000000,1
Shanks,39,199,1040000000,1
Shoujou,27,351,36000000,1
Squard,52,228,210000000,1
Suleiman,40,240,67000000,1
Tamago,46,301,429000000,1
Tashigi,23,170,50000000,1
Trebol,49,349,99000000,1
Ulti,22,173,400000000,1
Urouge,47,388,108000000,1
Usopp,19,174,500000000,1
Van Augur,27,340,64000000,1
Vinsmoke Judge,56,272,100000000,1
Vito,36,242,95000000,1
